isic4,year,markup_dispersion_wedge,counterfactual_label,scenario
2211,2012,0.0018966706347340197,output-competition counterfactuals,observed
2211,2013,0.12057653722223965,output-competition counterfactuals,observed
2211,2014,0.0065177602477297075,output-competition counterfactuals,observed
2211,2015,0.036587898110688244,output-competition counterfactuals,observed
2211,2016,0.027009249695434535,output-competition counterfactuals,observed
2211,2017,0.06545197132768905,output-competition counterfactuals,observed
2211,2018,0.03177563394495272,output-competition counterfactuals,observed
2211,2019,0.039003696694010624,output-competition counterfactuals,observed
2219,2011,0.03187555324465561,output-competition counterfactuals,observed
2219,2012,0.02936166076064396,output-competition counterfactuals,observed
2219,2013,0.02443555379650643,output-competition counterfactuals,observed
2219,2014,0.11593000169387144,output-competition counterfactuals,observed
2219,2015,0.022197219783860325,output-competition counterfactuals,observed
2219,2016,0.02371844723057563,output-competition counterfactuals,observed
2219,2017,0.01869656116811943,output-competition counterfactuals,observed
2219,2018,0.04671402099620178,output-competition counterfactuals,observed
2219,2019,0.05989764933055633,output-competition counterfactuals,observed
2220,2011,0.05991089438131894,output-competition counterfactuals,observed
2220,2012,0.031243483631506273,output-competition counterfactuals,observed
2220,2013,0.01909990781515467,output-competition counterfactuals,observed
2220,2014,0.02453560732126247,output-competition counterfactuals,observed
2220,2015,0.023045416888958538,output-competition counterfactuals,observed
2220,2016,0.02806328123170178,output-competition counterfactuals,observed
2220,2017,0.02764870191379306,output-competition counterfactuals,observed
2220,2018,0.06319684623156359,output-competition counterfactuals,observed
2220,2019,0.05239058553736909,output-competition counterfactuals,observed
2310,2011,0.034718377028166394,output-competition counterfactuals,observed
2310,2012,0.09635998253715462,output-competition counterfactuals,observed
2310,2013,0.015626368859207082,output-competition counterfactuals,observed
2310,2014,0.03737009372638836,output-competition counterfactuals,observed
2310,2015,0.11656509516135373,output-competition counterfactuals,observed
2310,2016,0.047427990258938124,output-competition counterfactuals,observed
2310,2017,0.023419416750541898,output-competition counterfactuals,observed
2310,2018,0.05582108862901492,output-competition counterfactuals,observed
2310,2019,0.06366543098288535,output-competition counterfactuals,observed
2391,2011,0.029692108553379237,output-competition counterfactuals,observed
2391,2012,0.046296946775411595,output-competition counterfactuals,observed
2391,2013,0.09745150206948407,output-competition counterfactuals,observed
2391,2014,0.05722506573366594,output-competition counterfactuals,observed
2391,2015,0.019515145021453434,output-competition counterfactuals,observed
2391,2016,0.05572095086351586,output-competition counterfactuals,observed
2391,2017,0.037365116696080836,output-competition counterfactuals,observed
2391,2018,0.031217057404783366,output-competition counterfactuals,observed
2391,2019,0.05400756990301371,output-competition counterfactuals,observed
2392,2011,0.06512876629060914,output-competition counterfactuals,observed
2392,2012,0.05351321620368658,output-competition counterfactuals,observed
2392,2013,0.06569218528620778,output-competition counterfactuals,observed
2392,2014,0.03423189996155388,output-competition counterfactuals,observed
2392,2015,0.04326703148830451,output-competition counterfactuals,observed
2392,2016,0.04269767395486317,output-competition counterfactuals,observed
2392,2017,0.253101954253832,output-competition counterfactuals,observed
2392,2018,0.03692280084194408,output-competition counterfactuals,observed
2392,2019,0.18180192425260883,output-competition counterfactuals,observed
2393,2011,0.03116065007805159,output-competition counterfactuals,observed
2393,2012,0.01946658784661857,output-competition counterfactuals,observed
2393,2013,0.2667594440053339,output-competition counterfactuals,observed
2393,2014,0.022162641336051517,output-competition counterfactuals,observed
2393,2015,0.020735976802503848,output-competition counterfactuals,observed
